WK,Stimmen,Jahr,Partei
10,8351,2013,AfD
10,447,2013,Übrige
11,181923,2013,Wahlberechtigte
11,180424,2009,Wahlberechtigte
11,124711,2013,Wähler
11,124624,2009,Wähler
11,1563,2013,Ungültige
11,3524,2009,Ungültige
11,123148,2013,Gültige
11,121100,2009,Gültige
11,44896,2013,CDU
11,36745,2009,CDU
11,50119,2013,SPD
11,44393,2009,SPD
11,2958,2013,FDP
11,13296,2009,FDP
11,6662,2013,DIE LINKE
11,10973,2009,DIE LINKE
11,9475,2013,GRÜNE
11,14098,2009,GRÜNE
11,2825,2013,PIRATEN
11,948,2013,NPD
11,1595,2009,NPD
11,4152,2013,AfD
11,1113,2013,FREIE WÄHLER
18,256862,2013,Wahlberechtigte
18,249150,2009,Wahlberechtigte
18,168465,2013,Wähler
18,164566,2009,Wähler
18,2445,2013,Ungültige
18,2660,2009,Ungültige
18,166020,2013,Gültige
18,161906,2009,Gültige
18,46753,2013,CDU
18,43306,2009,CDU
18,64997,2013,SPD
18,56125,2009,SPD
18,2878,2013,FDP
18,12700,2009,FDP
18,15693,2013,DIE LINKE
18,21173,2009,DIE LINKE
18,19943,2013,GRÜNE
18,26261,2009,GRÜNE
18,5733,2013,PIRATEN
18,1245,2013,NPD
18,2341,2009,NPD
18,5525,2013,AfD
18,700,2013,FREIE WÄHLER
18,1738,2013,Die PARTEI
18,815,2013,Übrige
19,182776,2013,Wahlberechtigte
19,178340,2009,Wahlberechtigte
19,135857,2013,Wähler
19,133657,2009,Wähler
19,1454,2013,Ungültige
19,1552,2009,Ungültige
19,134403,2013,Gültige
19,132105,2009,Gültige
19,43609,2013,CDU
19,39303,2009,CDU
19,46918,2013,SPD
19,47298,2009,SPD
19,2627,2013,FDP
19,10655,2009,FDP
19,13759,2013,DIE LINKE
19,13206,2009,DIE LINKE
19,18380,2013,GRÜNE
19,18888,2009,GRÜNE
19,3005,2013,PIRATEN
19,515,2013,NPD
19,780,2009,NPD
19,709,2009,ödp
19,151,2009,BüSo
19,135,2013,MLPD
19,158,2009,MLPD
