WK;Name;#Erst;#Zweit
13;CDU;43609;39581
13;SPD;46918;40009
13;GRÜNE;18380;22167
13;FDP;2627;7353
13;DIE LINKE;13759;14525
13;PIRATEN;3005;3630
13;NPD;515;528
13;RENTNER;-;420
13;ÖDP;-;334
13;MLPD;135;123
13;AfD;3094;4321
13;FREIE WÄHLER;497;384
13;Die PARTEI;1359;1089
13;K:Fiedler;505;-
14;Wahlberechtigte;189772;189772
14;Wähler;143084;143084
14;Ungültige;1646;1444
14;Gültige;141438;141640
14;CDU;47112;43989
14;SPD;53105;44492
14;GRÜNE;18399;22074
14;FDP;3264;7308
14;DIE LINKE;9728;12137
14;PIRATEN;3352;3751
14;NPD;548;551
14;RENTNER;-;525
14;ÖDP;-;293
14;MLPD;-;56
14;AfD;4034;5197
14;FREIE WÄHLER;427;397
14;Die PARTEI;-;870
14;K:Scheffler;1469;-
15;Wahlberechtigte;211824;211824
15;Wähler;163950;163950
15;Ungültige;1666;1512
15;Gültige;162284;162438
15;CDU;64459;59244
15;SPD;56421;49039
15;GRÜNE;19343;20357
15;FDP;3921;10242
15;DIE LINKE;7626;10615
15;PIRATEN;3559;3638
15;NPD;610;588
15;RENTNER;-;585
15;ÖDP;-;297
15;MLPD;-;39
15;AfD;5708;6721
15;FREIE WÄHLER;637;392
15;Die PARTEI;-;681
16;Wahlberechtigte;218797;218797
16;Wähler;147153;147153
16;Ungültige;1960;1795
16;Gültige;145193;145358
16;CDU;54002;50641
16;SPD;58029;50339
16;GRÜNE;9320;12667
16;FDP;2783;6556
16;DIE LINKE;9594;11078
16;PIRATEN;3328;3437
16;NPD;1374;1336
16;RENTNER;-;793
16;ÖDP;-;229
16;MLPD;-;37
16;AfD;6026;7093
16;FREIE WÄHLER;737;560
16;Die PARTEI;-;592
17;Wahlberechtigte;221887;221887
17;Wähler;142704;142704
17;Ungültige;2089;1988
17;Gültige;140615;140716
17;CDU;50044;47525
17;SPD;56867;49302
17;GRÜNE;9088;12916
17;FDP;2234;4952
17;DIE LINKE;10595;11817
17;PIRATEN;3198;3607
17;NPD;1446;1398
17;RENTNER;-;706
17;ÖDP;637;393
17;MLPD;-;76
17;AfD;5448;6624
17;FREIE WÄHLER;727;534
17;Die PARTEI;-;866
17;K:Reher;331;-
18;Wahlberechtigte;190987;190987
18;Wähler;134256;134256
18;Ungültige;2217;1724
18;Gültige;132039;132532
18;CDU;42737;43026
18;SPD;66348;58080
18;FDP;2085;4323
18;GRÜNE;12627;11028
18;DIE LINKE;6373;6588
18;PIRATEN;-;1900
18;NPD;-;1259
18;Tierschutzpartei;-;1065
18;MLPD;-;35
18;AfD;-;4136
18;pro Deutschland;-;109
18;REP;-;110
18;FREIE WÄHLER;1869;713
18;PBC;-;160
19;Wahlberechtigte;232784;232784
19;Wähler;166959;166959
19;Ungültige;2096;1645
19;Gültige;164863;165314
19;CDU;90236;80616
19;SPD;51409;51079
19;FDP;4288;6537
19;GRÜNE;8441;9506
19;DIE LINKE;6426;6771
19;PIRATEN;-;2218
19;NPD;1656;1339
19;Tierschutzpartei;-;1070
19;MLPD;-;24
19;AfD;-;4870
19;pro Deutschland;-;165
19;REP;-;91
19;FREIE WÄHLER;1820;747
19;PBC;-;281
19;K:Lükensmeier;587;-
20;Wahlberechtigte;190034;190034
20;Wähler;134162;134162
20;Ungültige;2369;1760
20;Gültige;131793;132402
20;CDU;52275;50796
20;SPD;58178;48011
20;FDP;3024;5670
20;GRÜNE;7362;9731
20;DIE LINKE;6736;6814
20;PIRATEN;-;2007
20;NPD;1680;1206
20;Tierschutzpartei;-;1194
20;MLPD;-;70
20;AfD;-;5479
20;pro Deutschland;-;149
20;REP;-;87
20;FREIE WÄHLER;2538;1106
20;PBC;-;82
21;Wahlberechtigte;220409;220409
21;Wähler;163543;163543
21;Ungültige;1748;1402
21;Gültige;161795;162141
21;CDU;59525;57067
21;SPD;60547;52856
21;FDP;3966;8210
21;GRÜNE;18552;20170
21;DIE LINKE;8794;10523
21;PIRATEN;2669;2853
21;NPD;1093;1050
21;Tierschutzpartei;-;1308
21;MLPD;-;62
21;AfD;5502;6833
21;pro Deutschland;-;100
21;REP;-;54
21;FREIE WÄHLER;1147;923
21;PBC;-;132
22;Wahlberechtigte;227719;227719
22;Wähler;162698;162698
22;Ungültige;2059;1911
22;Gültige;160639;160787
22;CDU;63832;62620
22;SPD;63256;54848
22;FDP;5263;8035
22;GRÜNE;9784;13059
22;DIE LINKE;7273;8814
22;PIRATEN;2747;2577
22;NPD;1655;1612
22;Tierschutzpartei;-;1390
22;MLPD;-;41
22;AfD;5292;6359
22;pro Deutschland;-;183
22;REP;-;97
22;FREIE WÄHLER;1299;1072
22;PBC;-;80
22;Bündnis 21/RRP;238;-
23;Wahlberechtigte;187640;187640
23;Wähler;137151;137151
23;Ungültige;1490;1184
23;Gültige;135661;135967
23;CDU;63431;59699
23;SPD;49395;45534
23;FDP;1872;4924
23;GRÜNE;8326;9592
23;DIE LINKE;4904;6241
23;PIRATEN;2120;1968
23;NPD;1306;1270
23;Tierschutzpartei;-;1074
23;MLPD;-;42
23;AfD;4034;4753
23;pro Deutschland;-;140
23;REP;-;43
23;FREIE WÄHLER;-;586
23;PBC;-;101
23;Bündnis 21/RRP;273;-
24;Wahlberechtigte;194958;194958
24;Wähler;145131;145131
24;Ungültige;1161;947
24;Gültige;143970;144184
24;CDU;68545;64472
24;SPD;49111;44598
24;FDP;2505;6023
24;GRÜNE;9099;11209
24;DIE LINKE;4878;6021
24;PIRATEN;1985;2131
24;NPD;1457;1302
24;Tierschutzpartei;-;979
24;MLPD;-;17
24;AfD;5632;6531
24;pro Deutschland;-;108
24;REP;-;54
24;FREIE WÄHLER;758;620
24;PBC;-;119
25;Wahlberechtigte;228051;228051
25;Wähler;170444;170444
25;Ungültige;1571;1206
25;Gültige;168873;169238
25;CDU;99705;94923
25;SPD;48903;44069
25;FDP;2673;7032
25;GRÜNE;8393;9160
25;DIE LINKE;4543;5107
25;PIRATEN;-;2456
25;NPD;879;790
25;Tierschutzpartei;-;767
25;MLPD;-;20
25;AfD;3777;4331
25;pro Deutschland;-;136
25;REP;-;48
25;FREIE WÄHLER;-;285
25;PBC;-;114
26;Wahlberechtigte;216300;216300
26;Wähler;153769;153769
26;Ungültige;1416;1205
26;Gültige;152353;152564
26;CDU;101015;96401
26;SPD;32422;30168
26;FDP;2812;7073
26;GRÜNE;5702;6488
26;DIE LINKE;3821;4259
26;PIRATEN;-;1816
26;NPD;870;877
26;Tierschutzpartei;-;681
26;MLPD;-;21
26;AfD;3238;3576
26;pro Deutschland;-;104
26;REP;-;51
26;FREIE WÄHLER;1451;799
26;PBC;-;250
26;FAMILIE;1022;-
27;Wahlberechtigte;193097;193097
27;Wähler;142350;142350
27;Ungültige;1496;1215
27;Gültige;140854;141135
27;CDU;66862;61404
27;SPD;47067;44431
