WK;Name;#Erst;#Zweit
10;MLPD;-;48
10;DVU;-;204
10;PIRATEN;-;3248
10;RENTNER;-;1445
10;DIE VIOLETTEN;553;-
11;Wahlberechtigte;180424;180424
11;Wähler;124624;124624
11;Ungültige;3524;3284
11;Gültige;121100;121340
11;SPD;44393;36578
11;CDU;36745;32970
11;FDP;13296;17173
11;GRÜNE;14098;16764
11;DIE LINKE;10973;12002
11;NPD;1595;1412
11;MLPD;-;90
11;DVU;-;144
11;PIRATEN;-;3010
11;RENTNER;-;1197
12;Wahlberechtigte;252967;252967
12;Wähler;167220;167220
12;Ungültige;2727;2089
12;Gültige;164493;165131
12;SPD;56809;46419
12;CDU;43587;38689
12;GRÜNE/GAL;27213;27865
12;FDP;12818;19105
12;DIE LINKE;21718;22702
12;NPD;2348;1822
12;MLPD;-;132
12;DVU;-;243
12;ödp Hamburg;-;675
12;PIRATEN;-;6303
12;RENTNER;-;1176
13;Wahlberechtigte;173956;173956
13;Wähler;130630;130630
13;Ungültige;1475;1294
13;Gültige;129155;129336
13;SPD;46522;32633
13;CDU;38969;33916
13;GRÜNE/GAL;17799;24462
13;FDP;10517;17028
13;DIE LINKE;12605;15670
13;NPD;771;795
13;MLPD;158;84
13;DVU;-;104
13;ödp Hamburg;709;545
13;PIRATEN;-;3344
13;RENTNER;-;755
13;BüSo;151;-
13;K:Saß;954;-
14;Wahlberechtigte;186357;186357
14;Wähler;142023;142023
14;Ungültige;1891;1298
14;Gültige;140132;140725
14;SPD;33364;37722
14;CDU;43714;37695
14;GRÜNE/GAL;36518;25819
14;FDP;11732;18851
14;DIE LINKE;12540;14732
14;NPD;969;799
14;MLPD;-;70
14;DVU;-;144
14;ödp Hamburg;-;428
14;PIRATEN;-;3531
14;RENTNER;-;934
14;K:Scheffler;1295;-
15;Wahlberechtigte;207016;207016
15;Wähler;163012;163012
15;Ungültige;1821;1357
15;Gültige;161191;161655
15;SPD;53469;40909
15;CDU;61873;50174
15;GRÜNE/GAL;21268;26306
15;FDP;12766;25269
15;DIE LINKE;10805;13429
15;NPD;1010;794
15;MLPD;-;46
15;DVU;-;152
15;ödp Hamburg;-;411
15;PIRATEN;-;3289
15;RENTNER;-;876
16;Wahlberechtigte;217147;217147
16;Wähler;150049;150049
16;Ungültige;2126;1686
16;Gültige;147923;148363
16;SPD;51460;42705
16;CDU;53958;44770
16;GRÜNE/GAL;13914;17518
16;FDP;11408;20181
16;DIE LINKE;14021;16205
16;NPD;1972;1674
16;MLPD;-;50
16;DVU;-;261
16;ödp Hamburg;1190;527
16;PIRATEN;-;3158
16;RENTNER;-;1314
17;Wahlberechtigte;219191;219191
17;Wähler;143119;143119
17;Ungültige;2355;1991
17;Gültige;140764;141128
17;SPD;54965;42554
17;CDU;46303;41423
17;GRÜNE/GAL;11728;16484
17;FDP;10727;16709
17;DIE LINKE;14430;16358
17;NPD;2111;1795
17;MLPD;-;63
17;DVU;-;280
17;ödp Hamburg;-;402
17;PIRATEN;-;3543
17;RENTNER;-;1517
17;BüSo;500;-
18;Wahlberechtigte;189804;189804
18;Wähler;132885;132885
18;Ungültige;2439;2121
18;Gültige;130446;130764
18;SPD;57876;50682
18;CDU;33706;32155
18;FDP;9314;13619
18;GRÜNE;14451;13641
18;DIE LINKE;13213;14978
18;NPD;1886;1712
18;Die Tierschutzpartei;-;1042
18;MLPD;-;32
18;DVU;-;123
18;ödp;-;123
18;PIRATEN;-;2015
18;RRP;-;642
19;Wahlberechtigte;231076;231076
19;Wähler;164653;164653
19;Ungültige;2392;2136
19;Gültige;162261;162517
19;SPD;47481;44913
19;CDU;73405;63545
19;FDP;15470;20731
19;GRÜNE;11981;12222
19;DIE LINKE;12062;14219
19;NPD;1862;1707
19;Die Tierschutzpartei;-;1149
19;MLPD;-;28
19;DVU;-;152
19;ödp;-;304
19;PIRATEN;-;2899
19;RRP;-;648
20;Wahlberechtigte;190546;190546
20;Wähler;132735;132735
20;Ungültige;2630;1939
20;Gültige;130105;130796
20;SPD;51851;40610
20;CDU;42211;38728
20;FDP;12283;19204
20;GRÜNE;9794;12009
20;DIE LINKE;12055;13572
20;NPD;1911;1570
20;Die Tierschutzpartei;-;1277
20;MLPD;-;85
20;DVU;-;106
20;ödp;-;112
20;PIRATEN;-;2452
20;RRP;-;1071
21;Wahlberechtigte;215591;215591
21;Wähler;158347;158347
21;Ungültige;1891;1490
21;Gültige;156456;156857
21;SPD;49020;42551
21;CDU;55610;44090
21;FDP;13840;22917
21;GRÜNE;21651;24171
21;DIE LINKE;14080;15244
21;NPD;1548;1345
21;Die Tierschutzpartei;-;1349
21;MLPD;-;53
21;DVU;-;124
21;ödp;-;192
21;PIRATEN;-;4000
21;RRP;707;821
22;Wahlberechtigte;226440;226440
22;Wähler;161584;161584
22;Ungültige;1970;1821
22;Gültige;159614;159763
22;SPD;55374;45895
22;CDU;56273;49810
22;FDP;16163;23109
22;GRÜNE;14446;16731
22;DIE LINKE;13751;15906
22;NPD;2346;2009
22;Die Tierschutzpartei;-;1519
22;MLPD;-;49
22;DVU;-;171
22;ödp;-;179
22;PIRATEN;-;2879
22;RRP;1261;1506
23;Wahlberechtigte;189058;189058
23;Wähler;135824;135824
23;Ungültige;1902;1575
23;Gültige;133922;134249
23;SPD;50481;40643
23;CDU;51654;46707
23;FDP;10426;17146
23;GRÜNE;8379;11885
23;DIE LINKE;10307;11920
23;NPD;1828;1567
23;Die Tierschutzpartei;-;1072
23;MLPD;-;28
23;DVU;-;225
23;ödp;-;173
23;PIRATEN;-;1938
23;RRP;-;945
23;K:Didlap;847;-
24;Wahlberechtigte;192956;192956
24;Wähler;142114;142114
24;Ungültige;1690;1424
24;Gültige;140424;140690
24;SPD;46851;37784
24;CDU;62035;51303
24;FDP;9946;20056
24;GRÜNE;9409;14253
24;DIE LINKE;9096;10541
24;NPD;2349;2061
24;Die Tierschutzpartei;-;999
24;MLPD;-;43
24;DVU;-;140
24;ödp;-;170
24;PIRATEN;-;2503
24;RRP;-;837
24;BüSo;307;-
24;K:Nagel;431;-
25;Wahlberechtigte;226979;226979
25;Wähler;169078;169078
25;Ungültige;1775;1550
25;Gültige;167303;167528
25;SPD;43503;39085
25;CDU;91378;79052
25;FDP;13278;23749
25;GRÜNE;9819;11357
25;DIE LINKE;8195;9169
25;NPD;1130;1014
25;Die Tierschutzpartei;-;853
25;MLPD;-;24
25;DVU;-;78
25;ödp;-;158
25;PIRATEN;-;2347
25;RRP;-;642
26;Wahlberechtigte;212449;212449
26;Wähler;148935;148935
26;Ungültige;1708;1425
26;Gültige;147227;147510
26;SPD;28053;24358
26;CDU;91686;80355
26;FDP;12700;23001
26;GRÜNE;6575;7827
26;DIE LINKE;6927;7518
26;NPD;1286;1132
26;Die Tierschutzpartei;-;766
26;MLPD;-;35
26;DVU;-;85
26;ödp;-;108
26;PIRATEN;-;1953
26;RRP;-;372
27;Wahlberechtigte;193411;193411
27;Wähler;141838;141838
27;Ungültige;1646;1315
27;Gültige;140192;140523
27;SPD;48313;38955
27;CDU;52599;47565
27;FDP;15928;22067
27;GRÜNE;11917;13999
27;DIE LINKE;9775;11701
27;NPD;1660;1442
27;Die Tierschutzpartei;-;1059
27;MLPD;-;27
27;DVU;-;193
27;ödp;-;143
27;PIRATEN;-;2435
27;RRP;-;937
28;Wahlberechtigte;192320;192320
28;Wähler;144883;144883
28;Ungültige;1642;1337
28;Gültige;143241;143546
28;SPD;52397;41979
28;CDU;53080;45908
28;FDP;10787;17889
28;GRÜNE;12318;17053
28;DIE LINKE;12242;13830
28;NPD;2417;1981
28;Die Tierschutzpartei;-;1228
28;MLPD;-;24
28;DVU;-;187
28;ödp;-;152
28;PIRATEN;-;2339
28;RRP;-;976
29;Wahlberechtigte;168573;168573
29;Wähler;121941;121941
29;Ungültige;1702;1326
29;Gültige;120239;120615
29;SPD;42395;33279
29;CDU;48344;42324
29;FDP;9895;16930
29;GRÜNE;9101;12155
29;DIE LINKE;8366;9759
29;NPD;2138;1825
29;Die Tierschutzpartei;-;1172
29;MLPD;-;22
29;DVU;-;167
29;ödp;-;133
29;PIRATEN;-;2252
29;RRP;-;597
30;Wahlberechtigte;191159;191159
30;Wähler;148918;148918
30;Ungültige;1976;1552
30;Gültige;146942;147366
30;SPD;45002;36139
30;CDU;59657;50104
30;FDP;15812;24967
30;GRÜNE;13772;18002
30;DIE LINKE;9611;10825
30;NPD;1935;1636
30;Die Tierschutzpartei;-;1132
30;MLPD;-;33
30;DVU;-;177
30;ödp;-;238
30;PIRATEN;-;2963
30;RRP;1153;1150
31;Wahlberechtigte;177098;177098
31;Wähler;131466;131466
31;Ungültige;1695;1366
31;Gültige;129771;130100
31;SPD;40411;32321
31;CDU;43229;37291
31;FDP;11242;16323
31;GRÜNE;19645;23543
31;DIE LINKE;11935;13166
31;NPD;1860;1594
31;Die Tierschutzpartei;-;1002
31;MLPD;-;32
31;DVU;-;135
31;ödp;-;194
31;PIRATEN;-;2795
31;RRP;1449;1704
32;Wahlberechtigte;197143;197143
32;Wähler;144630;144630
32;Ungültige;1706;1353
32;Gültige;142924;143277
32;SPD;46028;37936
32;CDU;63175;55599
32;FDP;12940;21117
32;GRÜNE;10393;13227
32;DIE LINKE;9006;10211
32;NPD;1382;1243
32;Die Tierschutzpartei;-;854
32;MLPD;-;26
32;DVU;-;120
32;ödp;-;190
32;PIRATEN;-;2268
32;RRP;-;486
33;Wahlberechtigte;192473;192473
33;Wähler;143711;143711
33;Ungültige;1584;1370
33;Gültige;142127;142341
33;SPD;46979;38000
33;CDU;54522;48398
33;FDP;14823;19941
33;GRÜNE;14282;18463
33;DIE LINKE;9918;11878
33;NPD;945;848
33;Die Tierschutzpartei;-;880
33;MLPD;-;18
33;DVU;-;88
33;ödp;-;216
33;PIRATEN;-;3168
33;RRP;-;443
33;K:Stöckel;658;-
34;Wahlberechtigte;198376;198376
34;Wähler;143398;143398
34;Ungültige;1706;1376
34;Gültige;141692;142022
34;SPD;58649;46797
34;CDU;52714;45750
34;FDP;8712;17698
34;GRÜNE;10217;13815
34;DIE LINKE;8797;10847
34;NPD;2036;1858
34;Die Tierschutzpartei;-;1079
34;MLPD;-;42
34;DVU;-;147
34;ödp;-;183
34;PIRATEN;-;2454
34;RRP;-;1352
34;K:Cosica;567;-
35;Wahlberechtigte;180088;180088
35;Wähler;131369;131369
35;Ungültige;1556;1381
35;Gültige;129813;129988
35;SPD;50592;40497
35;CDU;42621;34448
35;FDP;9699;16680
35;GRÜNE;13364;19019
35;DIE LINKE;10624;12111
35;NPD;1759;1681
35;Die Tierschutzpartei;-;1081
35;MLPD;176;88
35;DVU;-;118
35;ödp;-;190
35;PIRATEN;-;3102
35;RRP;978;973
36;Wahlberechtigte;190623;190623
36;Wähler;140587;140587
36;Ungültige;1655;1392
36;Gültige;138932;139195
36;SPD;55068;41482
36;CDU;44534;33872
36;FDP;8657;16098
36;GRÜNE;15797;24705
36;DIE LINKE;12886;14786
36;NPD;1573;1411
36;Die Tierschutzpartei;-;1106
36;MLPD;-;137
36;DVU;-;122
36;ödp;-;221
36;PIRATEN;-;4368
36;RRP;-;887
36;K:Weiland;417;-
37;Wahlberechtigte;232214;232214
37;Wähler;175757;175757
37;Ungültige;2251;1764
37;Gültige;173506;173993
37;SPD;67178;53236
37;CDU;66311;58219
37;FDP;14560;24492
37;GRÜNE;11642;16993
37;DIE LINKE;11173;12601
37;NPD;2642;2288
37;Die Tierschutzpartei;-;1362
37;MLPD;-;46
37;DVU;-;179
37;ödp;-;301
37;PIRATEN;-;3137
37;RRP;-;1139
38;Wahlberechtigte;217316;217316
38;Wähler;157137;157137
38;Ungültige;1991;1701
38;Gültige;155146;155436
38;SPD;50107;42402
38;CDU;68572;55393
38;FDP;11351;22295
38;GRÜNE;10801;14770
38;DIE LINKE;10130;11765
38;NPD;2501;2291
38;Die Tierschutzpartei;-;1130
38;MLPD;-;40
38;DVU;-;180
38;ödp;-;190
38;PIRATEN;-;2957
38;RRP;1684;2023
39;Wahlberechtigte;216957;216957
39;Wähler;161017;161017
39;Ungültige;2012;1822
39;Gültige;159005;159195
39;SPD;64365;52292
39;CDU;58827;53085
39;FDP;10073;17875
39;GRÜNE;9476;14217
39;DIE LINKE;11663;13314
39;NPD;2029;1882
39;Die Tierschutzpartei;-;1297
39;MLPD;-;41
39;DVU;-;155
39;ödp;-;181
39;PIRATEN;-;3359
39;RRP;1346;1497
39;K:Neumann;388;-
39;PBC;838;-
40;Wahlberechtigte;197394;197394
40;Wähler;143185;143185
40;Ungültige;2203;1948
40;Gültige;140982;141237
40;SPD;55842;47115
40;CDU;49787;41166
40;FDP;10401;19736
40;GRÜNE;10849;13322
40;DIE LINKE;11820;12911
40;NPD;2283;1982
40;Die Tierschutzpartei;-;1285
40;MLPD;-;53
40;DVU;-;146
40;ödp;-;130
40;PIRATEN;-;2571
40;RRP;-;820
41;Wahlberechtigte;239450;239450
41;Wähler;183314;183314
41;Ungültige;2258;2005
41;Gültige;181056;181309
41;SPD;73215;59493
41;CDU;65573;57144
41;FDP;12982;22004
41;GRÜNE;12533;18936
41;DIE LINKE;11976;13908
41;NPD;2853;2534
41;Die Tierschutzpartei;-;1513
41;MLPD;-;53
41;DVU;-;181
41;ödp;-;248
41;PIRATEN;-;3528
41;RRP;1422;1767
41;K:Böttcher;502;-
42;Wahlberechtigte;222804;222804
42;Wähler;167520;167520
42;Ungültige;2201;1802
42;Gültige;165319;165718
42;SPD;64555;54487
42;CDU;60376;52747
42;FDP;10231;18752
42;GRÜNE;14856;17360
42;DIE LINKE;11402;13429
42;NPD;2606;2452
42;Die Tierschutzpartei;-;1405
42;MLPD;-;52
42;DVU;-;152
42;ödp;-;171
42;PIRATEN;-;3191
42;RRP;1293;1520
43;Wahlberechtigte;213208;213208
43;Wähler;157578;157578
43;Ungültige;2468;2167
43;Gültige;155110;155411
43;SPD;69631;53144
43;CDU;50519;47719
43;FDP;9436;16479
43;GRÜNE;9032;13744
43;DIE LINKE;12538;15569
43;NPD;2791;2490
43;Die Tierschutzpartei;-;1334
43;MLPD;-;34
43;DVU;-;186
43;ödp;-;129
43;PIRATEN;-;2812
43;RRP;1163;1771
44;Wahlberechtigte;189975;189975
44;Wähler;139948;139948
44;Ungültige;1736;1535
44;Gültige;138212;138413
44;SPD;53572;39774
44;CDU;47584;40135
44;FDP;7507;15845
44;GRÜNE;12012;19831
44;DIE LINKE;10801;13763
44;NPD;1310;1324
44;Die Tierschutzpartei;-;1114
44;MLPD;118;77
44;DVU;-;134
44;ödp;-;184
44;PIRATEN;4214;4962
44;RRP;-;1270
44;K:Thomas;800;-
44;K:Dauter;294;-
45;Wahlberechtigte;187831;187831
45;Wähler;135261;135261
45;Ungültige;2196;1790
45;Gültige;133065;133471
45;SPD;46064;42391
45;CDU;52427;45319
45;FDP;8480;14114
45;GRÜNE;10692;11801
45;DIE LINKE;10216;11309
45;NPD;3023;2606
45;Die Tierschutzpartei;-;1176
45;MLPD;-;46
45;DVU;-;101
45;ödp;-;112
45;PIRATEN;-;2905
45;RRP;1748;1591
45;PBC;415;-
46;Wahlberechtigte;214330;214330
46;Wähler;156221;156221
46;Ungültige;2638;2047
46;Gültige;153583;154174
46;SPD;60107;50912
46;CDU;54451;46256
46;FDP;12719;21481
46;GRÜNE;9624;12983
46;DIE LINKE;14083;14988
46;NPD;2599;2352
46;Die Tierschutzpartei;-;1247
46;MLPD;-;27
46;DVU;-;131
46;ödp;-;144
46;PIRATEN;-;2787
46;RRP;-;866
47;Wahlberechtigte;224468;224468
47;Wähler;166515;166515
47;Ungültige;2227;1908
47;Gültige;164288;164607
47;SPD;60483;48788
47;CDU;56503;47343
47;FDP;10765;22086
47;GRÜNE;21360;23708
47;DIE LINKE;12493;14635
47;NPD;2323;2072
47;Die Tierschutzpartei;-;1176
47;MLPD;-;58
47;DVU;-;115
47;ödp;-;195
47;PIRATEN;-;3707
47;RRP;-;724
47;K:Kurnaz;361;-
48;Wahlberechtigte;256131;256131
48;Wähler;188189;188189
48;Ungültige;2557;2099
48;Gültige;185632;186090
48;SPD;62588;52387
48;CDU;53255;46284
48;GRÜNE;31564;32556
48;DIE LINKE;21226;24883
48;FDP;13587;21021
48;NPD;2012;1567
48;PBC;-;458
48;MLPD;343;133
48;DVU;-;373
48;REP;-;247
48;PIRATEN;-;4564
48;RRP;-;1617
48;K:Hövener;709;-
48;K:Könnecke;348;-
49;Wahlberechtigte;231847;231847
49;Wähler;154838;154838
49;Ungültige;2691;2317
49;Gültige;152147;152521
49;SPD;58879;50032
49;CDU;39186;34680
49;GRÜNE;16985;19727
49;DIE LINKE;21647;23486
49;FDP;10850;14947
49;NPD;2614;2045
49;PBC;-;397
49;MLPD;-;83
49;DVU;-;657
49;REP;-;330
49;PIRATEN;-;3610
49;RRP;1563;2527
49;K:Tangeten;423;-
50;Wahlberechtigte;176885;176885
50;Wähler;130211;130211
50;Ungültige;1582;1194
50;Gültige;128629;129017
50;SPD;38523;28937
50;CDU;50703;41146
50;FDP;11554;19464
50;GRÜNE;17241;20765
50;DIE LINKE;9520;10911
50;NPD;1088;789
50;Die Tierschutzpartei;-;672
50;FAMILIE;-;385
50;REP;-;221
50;Volksabstimmung;-;87
50;MLPD;-;34
50;PSG;-;9
50;ZENTRUM;-;62
50;BüSo;-;32
50;DVU;-;54
50;ödp;-;149
50;PIRATEN;-;4837
50;RRP;-;149
50;RENTNER;-;314
51;Wahlberechtigte;228546;228546
51;Wähler;160816;160816
51;Ungültige;2766;2296
51;Gültige;158050;158520
51;SPD;54205;45981
51;CDU;63511;53062
51;FDP;13275;23518
51;GRÜNE;11056;12491
51;DIE LINKE;13502;14926
51;NPD;2501;1767
51;Die Tierschutzpartei;-;1107
51;FAMILIE;-;792
51;REP;-;820
51;Volksabstimmung;-;125
51;MLPD;-;19
51;PSG;-;18
51;ZENTRUM;-;70
51;BüSo;-;29
51;DVU;-;114
51;ödp;-;81
51;PIRATEN;-;2764
51;RRP;-;239
51;RENTNER;-;597
52;Wahlberechtigte;187605;187605
52;Wähler;131761;131761
52;Ungültige;2409;1923
52;Gültige;129352;129838
52;SPD;31111;27877
52;CDU;65143;53888
52;FDP;12342;21315
52;GRÜNE;8933;9307
52;DIE LINKE;9859;10638
52;NPD;1964;1532
52;Die Tierschutzpartei;-;1047
52;FAMILIE;-;784
52;REP;-;413
52;Volksabstimmung;-;145
52;MLPD;-;17
52;PSG;-;20
52;ZENTRUM;-;69
52;BüSo;-;24
52;DVU;-;73
52;ödp;-;94
52;PIRATEN;-;1976
52;RRP;-;199
52;RENTNER;-;420
53;Wahlberechtigte;199907;199907
53;Wähler;144058;144058
53;Ungültige;2447;1979
53;Gültige;141611;142079
53;SPD;43655;36209
53;CDU;65662;53597
53;FDP;10745;21383
53;GRÜNE;8956;11102
53;DIE LINKE;10079;11924
53;NPD;2514;2066
53;Die Tierschutzpartei;-;1100
53;FAMILIE;-;891
53;REP;-;259
53;Volksabstimmung;-;201
53;MLPD;-;20
53;PSG;-;19
53;ZENTRUM;-;72
53;BüSo;-;28
53;DVU;-;74
53;ödp;-;62
53;PIRATEN;-;2273
53;RRP;-;207
53;RENTNER;-;592
54;Wahlberechtigte;245417;245417
54;Wähler;180037;180037
54;Ungültige;2597;2259
54;Gültige;177440;177778
54;SPD;63487;49072
54;CDU;69845;60798
54;FDP;18620;29495
54;GRÜNE;11195;16136
54;DIE LINKE;11215;13214
54;NPD;2620;1952
54;Die Tierschutzpartei;-;1333
54;FAMILIE;-;793
54;REP;-;500
54;Volksabstimmung;-;236
54;MLPD;-;33
54;PSG;-;29
54;ZENTRUM;-;80
54;BüSo;-;42
54;DVU;-;98
54;ödp;-;151
54;PIRATEN;-;2688
54;RRP;-;195
54;RENTNER;-;933
54;K:Martin;458;-
55;Wahlberechtigte;245382;245382
55;Wähler;176069;176069
55;Ungültige;3421;2576
55;Gültige;172648;173493
55;SPD;50035;40709
55;CDU;75290;63653
55;FDP;20620;32011
55;GRÜNE;12239;15126
55;DIE LINKE;11679;13139
55;NPD;2321;1810
55;Die Tierschutzpartei;-;1276
55;FAMILIE;-;931
55;REP;-;420
55;Volksabstimmung;-;209
55;MLPD;-;43
55;PSG;-;24
55;ZENTRUM;-;103
55;BüSo;-;40
55;DVU;-;146
55;ödp;-;160
55;PIRATEN;-;2523
55;RRP;-;326
55;RENTNER;-;844
55;K:Schmitz;464;-
56;Wahlberechtigte;186798;186798
56;Wähler;127011;127011
56;Ungültige;1718;1178
56;Gültige;125293;125833
56;SPD;43837;33774
56;CDU;42094;34195
56;FDP;10902;18981
56;GRÜNE;15557;20019
56;DIE LINKE;10614;12092
56;NPD;1971;1398
56;Die Tierschutzpartei;-;816
56;FAMILIE;-;433
56;REP;-;368
56;Volksabstimmung;-;179
56;MLPD;-;70
56;PSG;-;20
56;ZENTRUM;-;74
56;BüSo;-;25
56;DVU;-;53
56;ödp;-;146
56;PIRATEN;-;2522
56;RRP;-;214
56;RENTNER;-;454
56;K:Dieckmann M;318;-
57;Wahlberechtigte;224430;224430
57;Wähler;172562;172562
57;Ungültige;1350;1006
57;Gültige;171212;171556
57;SPD;55471;37665
57;CDU;59710;48545
57;FDP;18455;32663
57;GRÜNE;26614;34040
57;DIE LINKE;9550;12138
57;NPD;1131;809
57;Die Tierschutzpartei;-;755
57;FAMILIE;-;337
57;REP;-;227
57;Volksabstimmung;-;129
57;MLPD;281;41
57;PSG;-;28
57;ZENTRUM;-;67
57;BüSo;-;27
57;DVU;-;48
57;ödp;-;252
57;PIRATEN;-;3237
57;RRP;-;207
57;RENTNER;-;341
58;Wahlberechtigte;197023;197023
58;Wähler;134252;134252
58;Ungültige;1619;1296
58;Gültige;132633;132956
58;SPD;47625;37019
58;CDU;38093;33367
58;FDP;11187;17225
58;GRÜNE;22550;24797
58;DIE LINKE;11390;13540
58;NPD;1788;1231
58;Die Tierschutzpartei;-;847
58;FAMILIE;-;473
58;REP;-;367
58;Volksabstimmung;-;153
58;MLPD;-;53
58;PSG;-;26
58;ZENTRUM;-;58
58;BüSo;-;38
58;DVU;-;57
58;ödp;-;201
58;PIRATEN;-;2791
58;RRP;-;257
58;RENTNER;-;456
59;Wahlberechtigte;219218;219218
59;Wähler;167574;167574
59;Ungültige;1898;1655
59;Gültige;165676;165919
59;SPD;55251;37387
59;CDU;51674;51654
59;FDP;31606;31483
59;GRÜNE;16856;26573
59;DIE LINKE;8381;11624
59;NPD;1211;1049
59;Die Tierschutzpartei;-;786
59;FAMILIE;-;443
59;REP;-;244
59;Volksabstimmung;-;137
59;MLPD;-;40
59;PSG;-;26
59;ZENTRUM;-;87
59;BüSo;251;87
59;DVU;-;52
59;ödp;-;208
59;PIRATEN;-;3685
59;RRP;-;74
59;RENTNER;-;280
59;DIE VIOLETTEN;446;-
60;Wahlberechtigte;231404;231404
60;Wähler;167034;167034
60;Ungültige;2203;1856
60;Gültige;164831;165178
60;SPD;42568;37986
60;CDU;73959;58516
60;FDP;18727;31488
60;GRÜNE;15389;17359
60;DIE LINKE;10523;11650
60;NPD;1765;1462
60;Die Tierschutzpartei;-;1113
60;FAMILIE;-;678
60;REP;-;271
60;Volksabstimmung;1581;741
60;MLPD;-;19
60;PSG;-;15
60;ZENTRUM;-;100
60;BüSo;-;21
60;DVU;-;93
60;ödp;-;153
60;PIRATEN;-;2887
60;RRP;-;194
60;RENTNER;-;432
60;K:Trennkenschuh;319;-
61;Wahlberechtigte;211859;211859
61;Wähler;161746;161746
61;Ungültige;1994;1715
61;Gültige;159752;160031
61;SPD;39489;33235
61;CDU;80363;59487
61;FDP;16012;34858
61;GRÜNE;14046;16898
61;DIE LINKE;7430;8800
61;NPD;1443;1188
61;Die Tierschutzpartei;-;974
61;FAMILIE;-;605
61;REP;-;224
61;Volksabstimmung;969;452
61;MLPD;-;27
61;PSG;-;15
61;ZENTRUM;-;96
