WK;Name;#Erst;#Zweit
1;Wahlberechtigte;225216;225216
1;Wähler;163329;163329
1;Ungültige;4117;4181
1;Gültige;159212;159148
1;SPD;52139;41793
1;CDU;61793;51068
1;FDP;15292;24187
1;GRÜNE;16399;21967
1;DIE LINKE;11918;13481
1;NPD;1302;1240
1;MLPD;-;47
1;DVU;-;159
1;PIRATEN;-;3385
1;RENTNER;-;1821
1;ZENTRUM;369;-
2;Wahlberechtigte;187047;187047
2;Wähler;134671;134671
2;Ungültige;3382;3218
2;Gültige;131289;131453
2;SPD;36642;32239
2;CDU;56751;47947
2;FDP;15184;22605
2;GRÜNE;12840;14927
2;DIE LINKE;8208;8836
2;NPD;1231;1126
2;MLPD;-;53
2;DVU;-;194
2;PIRATEN;-;2233
2;RENTNER;-;1293
2;K:Albertsen;433;-
3;Wahlberechtigte;177604;177604
3;Wähler;128320;128320
3;Ungültige;3348;3030
3;Gültige;124972;125290
3;SPD;37277;31282
3;CDU;49779;43480
3;FDP;16037;21970
3;GRÜNE;10665;12899
3;DIE LINKE;8896;9808
3;NPD;1603;1512
3;MLPD;-;44
3;DVU;-;142
3;PIRATEN;-;2549
3;RENTNER;-;1604
3;K:Peter;715;-
4;Wahlberechtigte;198910;198910
4;Wähler;150018;150018
4;Ungültige;3404;3026
4;Gültige;146614;146992
4;SPD;47610;39253
4;CDU;58876;49789
4;FDP;14317;23442
4;GRÜNE;14790;18751
4;DIE LINKE;8729;9821
4;NPD;1344;1220
4;MLPD;-;55
4;DVU;-;136
4;PIRATEN;-;2985
4;RENTNER;-;1540
4;K:Thiesen;948;-
5;Wahlberechtigte;200347;200347
5;Wähler;145483;145483
5;Ungültige;3442;2263
5;Gültige;142041;143220
5;SPD;54398;42369
5;CDU;42733;36397
5;FDP;12188;19156
5;GRÜNE;18699;24659
5;DIE LINKE;11817;13430
5;NPD;1392;1275
5;MLPD;-;80
5;DVU;-;139
5;PIRATEN;-;4267
5;RENTNER;-;1448
5;K:Wildenradt von;814;-
6;Wahlberechtigte;175132;175132
6;Wähler;127971;127971
6;Ungültige;3292;3031
6;Gültige;124679;124940
6;SPD;41683;35557
6;CDU;48136;40110
6;FDP;12515;19772
6;GRÜNE;12187;15701
6;DIE LINKE;7871;8936
6;NPD;1363;1315
6;MLPD;-;42
6;DVU;-;131
6;PIRATEN;-;2281
6;RENTNER;-;1095
6;K:Schepke F;924;-
7;Wahlberechtigte;232899;232899
7;Wähler;176188;176188
7;Ungültige;3384;3193
7;Gültige;172804;172995
7;SPD;54950;45540
7;CDU;70458;57203
7;FDP;17018;28640
7;GRÜNE;16143;20978
7;DIE LINKE;11794;13412
7;NPD;1912;1743
7;MLPD;-;56
7;DVU;-;193
7;PIRATEN;-;3659
7;RENTNER;-;1571
7;K:Hoffmann;529;-
8;Wahlberechtigte;240010;240010
8;Wähler;180295;180295
8;Ungültige;3674;3303
8;Gültige;176621;176992
8;SPD;54065;44445
8;CDU;70290;58225
8;FDP;20084;31407
8;GRÜNE;16633;21245
8;DIE LINKE;12527;14280
8;NPD;1797;1687
8;MLPD;-;58
8;DVU;-;233
8;PIRATEN;-;3598
8;RENTNER;-;1814
8;K:Strub;783;-
8;K:Schepke M;442;-
9;Wahlberechtigte;179987;179987
9;Wähler;131917;131917
9;Ungültige;4043;3094
9;Gültige;127874;128823
9;SPD;43765;36329
9;CDU;49363;42193
9;FDP;14397;22701
9;GRÜNE;10411;13651
9;DIE LINKE;8235;9342
9;NPD;1270;1192
9;MLPD;-;43
9;DVU;-;132
9;PIRATEN;-;2062
9;RENTNER;-;1178
9;K:Janssen;433;-
10;Wahlberechtigte;237144;237144
10;Wähler;181568;181568
10;Ungültige;3884;3259
10;Gültige;177684;178309
10;SPD;53073;45354
10;CDU;70874;59075
10;FDP;19742;30714
10;GRÜNE;18761;22240
10;DIE LINKE;12351;13855
10;NPD;2330;2126
