Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Waltraud Lotte;Drinkmann;1954;RENTNER;;NW;11
Elvira;Drobinski-Weiß;1951;SPD;284;BW;11
Ute Regina;Drothler;1969;ödp;222;BY;14
Kai-Uwe;Ducke;1975;BüSo;166;NW;2
Wolfgang Georg;Duda;1962;NPD;118;NW;16
Garrelt;Duin;1968;SPD;25;NI;1
Angelica;Dullinger;1960;SPD;226;BY;26
Andrea Brigitte;Dumberger;1957;MLPD;;BY;8
Klaus;Dumberger;1964;MLPD;218;BY;1
Nina;Dusper;1975;MLPD;;NW;26
Dr. Kurt Carlos;Duwe;1951;FDP;24;HH;3
Mechthild;Dyckmans;1950;FDP;169;HE;5
Thomas;Dyhr;1958;GRÜNE;60;BB;5
Klaus-Peter;Eberhard;1962;FDP;8;SH;5
Dagmar;Eberhard-Forschner;1953;MLPD;108;;
Dr. Christian;Eberl;1954;FDP;53;;
Johann;Eberle;1948;BP;;BY;16
Dieter;Ebert;1955;REP;;BW;16
Harald;Ebner;1964;GRÜNE;268;BW;12
Jutta;Eckenbach;1952;CDU;120;NW;30
Michael;Eckert;1981;;284;;
René;Eckert van;1987;SPD;;BY;47
Hannelore;Eckhardt;1954;SPD;;HE;22
Herbert;Eckler;1931;BüSo;;NW;5
Sebastian;Edathy;1969;SPD;41;NI;15
Lars Oliver;Effertz;1978;FDP;92;NW;40
Jürgen;Eggers;1957;DIE LINKE;46;;
Ingo;Egloff;1956;SPD;23;HH;3
Hasso;Ehinger;1940;DIE LINKE;267;;
Hans-Joachim;Ehnes;1956;DIE LINKE;242;BY;10
Hans-Werner;Ehrenberg;1952;FDP;148;NW;23
Robert;Ehrhardt;1982;REP;;SN;3
Ewald;Ehrl;1961;NPD;234;;
Martina;Ehrlich;1965;SPD;;RP;19
Siegmund;Ehrmann;1952;SPD;115;NW;53
Bernd;Ehrreich;1972;NPD;299;;
Ulrich;Eichhorst;1946;SPD;;NI;39
Martin;Eichler;1968;ödp;;BY;15
Rainer Hans;Eichler;1950;REP;;SN;9
Franziska;Eichstädt-Bohlig;1941;GRÜNE;87;;
Hermann Josef Jupp;Eicker;1949;MLPD;;NW;9
Andreas;Eickmeier;1954;FDP;135;NW;32
Andreas;Eifler;1955;MLPD;196;TH;1
Manuela;Eifler;1957;MLPD;;TH;4
Ellen;Eigemeier;1970;ödp;;RP;4
Helmut;Eigen;1955;DIE LINKE;143;NW;14
Ulrich;Eigenfeld;1947;NPD;;NI;1
Egon;Eigenthaler;1938;REP;;BW;7
Gerhard Fritz;Einrauch;1929;REP;;HB;2
Toralf;Einsle;1980;FDP;158;SN;10
Dr. Stephan;Eisel;1955;CDU;97;NW;38
Dietmar;Eisele;1959;GRÜNE;125;;
Klaus Peter;Eisold;1961;SPD;;RP;30
Henrik;Eitel;1977;CDU;;SL;7
Hanaa;El-Hussein;1968;FDP;87;BE;6
Dr. Andreas;Ellendt;1963;CDU;;SH;15
Stefan;Ellenrieder;1961;BP;;BY;17
René;Emcke;1977;PIRATEN;;ST;1
Raimund Karl;Enders;1953;FAMILIE;222;BY;7
Thomas;Endres;1960;DIE LINKE;249;;
Leopold;Endriß;1936;ADM;;BW;10
Franziska;Engehausen;1963;SPD;260;BW;30
Stefan Klaus;Engel;1954;MLPD;124;NW;2
Dr. Ursula;Engelen-Kefer;1943;SPD;217;BY;30
Klaus Bruno;Engelhardt;1953;DIE LINKE;239;;
Sigurd Adolf;Engelmann;1936;NPD;246;;
Michaela Barbara;Engelmeier-Heite;1960;SPD;100;NW;34
Martin;Engels;1963;CDU;;HE;45
Oliver;Engels;1969;FDP;;RP;30
Rainer;Engels;1963;NPD;101;;
Christine;Engelschall;1965;Tierschutz;;BY;1
Jan;Engert;1986;PIRATEN;;SL;6
Gaby;Englmeier;1967;CSU;;BY;27
Dr. Dagmar;Enkelmann;1956;DIE LINKE;60;BB;1
Horst;Entinger;1944;RRP;;SL;3
Jürgen;Eppler;1971;ADM;;BW;9
Birgit;Erben;1952;DIE LINKE;;NW;34
Rainer;Erdel;1955;FDP;241;BY;14
Christoph;Erdmenger;1970;GRÜNE;68;ST;2
David;Erkalp;1974;CDU;19;;
Frank;Erkner;1966;FDP;30;NI;23
Gernot;Erler;1944;SPD;281;BW;2
Wolfgang Manfred;Ermert;1944;REP;;RP;5
Klaus;Ernst;1954;DIE LINKE;250;BY;1
Petra;Ernstberger;1955;SPD;239;BY;4
Engin;Eroglu;1982;GRÜNE;171;;
Mario;Ertel;1963;NPD;157;;
Mario;Ertel;1976;ödp;;BY;16
Frank;Eschrich;1964;DIE LINKE;211;;
Saskia;Esken;1961;SPD;280;BW;28
Jörg;Essen van;1947;FDP;146;NW;3
Hubert;Eßer;1959;SPD;109;NW;46
Steffen;Etzel;1950;DIE LINKE;176;;
Nina;Eumann;1965;DIE LINKE;119;;
Dieter Walter Karl;Euscher;1939;RRP;;NI;1
Karin;Evers-Meyer;1949;SPD;27;NI;4
Adalbert Peter;Ewen;1952;CDU;;SL;19
Monika;Ewert;1940;REP;;BY;4
Anke;Eymer;1949;CDU;11;SH;6
Stefan;Faber;1951;NPD;217;BY;8
Dr. Bernd-Bernhard;Fabritius;1965;CSU;;BY;32
Hannelore;Fackler-Plump;1946;BüSo;252;BY;6
Ivette Annabell;Fähnemann;1974;DVU;;HB;4
Prof. Dr. Christine;Färber;1964;SPD;;BB;8
Daniel;Fahr;1976;FDP;128;;
Florian;Fahrner;1978;ödp;231;BY;6
David;Faku;1986;BüSo;218;BY;8
Tobias Christoph Mzingisi;Faku;1988;BüSo;143;NW;11
Benno;Falk;1953;MLPD;;MV;5
Markus;Falk;1970;FDP;200;RP;7
Peter;Falk;1964;SPD;216;BY;25
Herbert;Falke;1956;GRÜNE;137;NW;30
Rena;Farquhar;1974;FDP;261;;
Gabriele;Faulhaber;1953;DIE LINKE;177;;
Dirk;Faust;1971;FDP;72;ST;5
Dr. Hans-Georg;Faust;1948;CDU;53;NI;17
Matthias;Faust;1971;DVU;;HH;1
Dr. Johannes;Fechner;1972;SPD;283;BW;24
Hanno;Fecke;1962;SPD;2;SH;11
Katharina;Fegebank;1977;GRÜNE;20;HH;3
Thomas;Fehling;1967;FDP;170;HE;19
Ralf;Fehlmann;1957;FAMILIE;;SL;3
Anette;Feike;1959;SPD;196;TH;7
Katharina;Feike;1976;SPD;16;MV;4
Uwe;Feiler;1965;CDU;59;BB;6
Karin;Feindt;1940;NPD;261;;
Dr. Thomas Wolfgang;Feist;1965;CDU;154;;
Konrad Kurt;Felber;1953;FDP;164;SN;6
Thomas;Feldhaus;1972;;84;;
Dagmar;Feldmann;1963;FAMILIE;137;NW;4
Thurid;Feldmann;1964;DIE LINKE;272;;
Martina;Feldmayer;1964;GRÜNE;182;;
Dr. Fritz;Felgentreu;1968;SPD;83;BE;8
Dr. Bernd;Fell;1948;FDP;49;NI;27
Hans-Josef;Fell;1952;GRÜNE;248;BY;2
Madeleine;Fellauer;1979;BüSo;;SN;3
Peter;Fendt;1950;BP;257;BY;18
Stefan;Fenner;1958;FDP;;HE;41
Gisbert;Ferger;1933;REP;;BY;21
Enak;Ferlemann;1963;CDU;30;NI;8
Elke;Ferner;1958;SPD;296;SL;1
Wolfgang;Ferner;1952;DIE LINKE;200;RP;4
Dr. Stefan;Feuerstein;1951;FDP;193;;
Alexander;Feyen;1975;NPD;254;;
Thomas;Fickenwirth;1954;FDP;214;BY;24
Sascha;Fiek;1974;FDP;281;BW;16
Marion;Figge;1964;NPD;;NW;3
Josef;Filippek;1949;DIE LINKE;150;NW;24
Matthias;Fimmel;1971;;193;;
Elke;Fimmen;1954;BüSo;;BW;1
Klaus;Fimmen;1956;BüSo;183;HE;7
Jochen;Findeisen;1948;DIE LINKE;262;BW;18
Jan Niklas;Fingerle;1974;PIRATEN;;SL;1
Eva-Maria;Fink-Hanebuth;1955;FDP;;HE;29
Peter;Finke;1949;RENTNER;;NW;2
Ingrid;Fischbach;1957;CDU;142;NW;6
Axel;Fischer;1966;CDU;272;;
Christian;Fischer;1982;NPD;;NI;10
Christian;Fischer;1979;PIRATEN;;TH;4
Dr. Dietrich;Fischer;1930;REP;;NW;7
Dirk Erik;Fischer;1943;CDU;22;HH;1
Harald;Fischer;1960;FAMILIE;;BY;6
Hartwig;Fischer;1948;CDU;54;NI;10
Karl-Heinz;Fischer;1952;REP;;NW;9
Lydia;Fischer;1949;CDU;;HH;8
Marcus;Fischer;1964;FDP;120;NW;59
Markus;Fischer;1964;FDP;269;BW;34
Peter;Fischer;1955;SPD;285;BW;31
Poul-Ludwig;Fischer;1946;FDP;;RP;17
Roland;Fischer;1961;SPD;221;BY;35
Werner;Fischer;1955;;257;;
Jürgen;Fischinger;1956;NPD;282;;
Peter;Fitzek;1965;;71;;
Ulrike;Flach;1951;FDP;119;NW;6
Dr. Maria Franziska;Flachsbarth;1963;CDU;48;NI;6
Daniel;Flachshaar;1976;PIRATEN;;TH;2
Dr. Helmut;Fleck;1938;Volksabst.;98;NW;1
Hermann;Fleischer;1950;DIE LINKE;50;NI;27
Holger;Flöge;1956;FDP;46;NI;29
Klaus-Peter;Flosbach;1952;CDU;100;NW;34
Thomas;Flügge;1974;SPD;;NI;55
Stephan;Flug;1967;NPD;149;NW;17
Matthias;Fobo;1961;GRÜNE;65;;
Bert-Rüdiger;Förster;1942;REP;180;HE;2
Hildegard;Förster-Heldmann;1958;GRÜNE;;HE;21
Frank;Förstermann;1964;CDU;;BW;59
Verena;Föttinger;1956;ödp;;BW;1
Gabriele;Fograscher;1957;SPD;254;BY;14
Peter;Forelle;1973;CDU;;TH;11
Manuela;Forster;1972;ödp;;BY;17
Josef;Fortner;1960;ödp;223;;
Dr. Johannes;Frackowiak;1968;FDP;195;TH;4
Sven Henri;Franck;1959;SPD;;RP;18
Hartmut;Frank;1953;;59;;
Maria;Frank;1938;;220;;
Dr. Edgar;Franke;1960;SPD;171;HE;7
Philipp;Frankenfeld;1971;FDP;231;BY;45
Herbert;Frankenhauser;1945;CSU;219;BY;18
Frank;Franz;1978;NPD;298;SL;1
Markus;Franz;1963;CDU;;SL;13
Uwe;Franz;1962;SPD;;RP;24
Manfred;Franzke;1952;;217;;
Gabriele;Frechen;1956;SPD;92;NW;37
Dorothea;Frederking;1964;GRÜNE;70;ST;5
Jürgen;Freimuth;1954;ödp;;RP;11
Dagmar;Freitag;1953;SPD;151;NW;7
Reinhard;Freitag;1961;FDP;280;BW;33
Manfred;Frentzen;1948;NPD;110;;
Erich;Freudenberger;1971;PBC;249;BY;9
Astrid;Freudenstein;1973;CSU;;BY;28
Klaus;Freudigmann;1942;MLPD;;BE;6
Elvira-Anna;Fricke;1934;MLPD;;ST;9
Otto;Fricke;1965;FDP;111;NW;7
Sebastian;Fricke;1974;GRÜNE;6;SH;10
Sabine;Fricker;1957;MLPD;;SL;2
Markus Paul Felix;Fridgen;1975;NPD;213;;
Carolin;Friedemann;1981;GRÜNE;42;NI;13
Paul Klemens;Friedhoff;1943;FDP;113;NW;12
Peter;Friedhoff;1970;FDP;33;NI;16
Patrick;Friedl;1970;GRÜNE;251;;
Dr. Hans-Peter;Friedrich;1957;CSU;239;BY;14
Peter;Friedrich;1972;SPD;287;BW;9
Thomas;Friedrich;1955;ödp;;BY;18
Hans-Christian;Friedrichs;1964;GRÜNE;37;;
Maika;Friemann-Jennert;1964;CDU;;MV;9
Michael;Frieser;1964;CSU;245;BY;16
Urs Fabian;Frigger;1984;FDP;147;NW;41
Dr. Benedikt;Frings;1957;NPD;94;;
Jörg;Frister;1977;FDP;;RP;15
Kerstin;Fritsch;1962;NPD;283;;
Nicole;Fritsche;1979;DIE LINKE;218;BY;7
Erich Georg;Fritz;1946;CDU;144;NW;19
Maria-Elisabeth;Fritzen;1962;GRÜNE;9;;
Jakobus;Fröhlich;1945;MLPD;140;;
Josephine;Fröhlich;1984;NPD;176;;
Patrick;Fröhlich;1981;CSU;;BY;42
Ulrich;Fröhlich-Abrecht;1974;CDU;;HE;41
Christa;Frohn;1955;DIE LINKE;90;;
Gabi;Fromm;1951;SPD;;SL;30
Jochen-Konrad;Fromme;1949;CDU;50;NI;11
Ferdinand;Frummet;1951;RRP;233;BY;7
Klaus;Fuchs;1954;MLPD;71;ST;5
Dr. Michael;Fuchs;1949;CDU;200;RP;8
Hans-Joachim;Fuchtel;1952;CDU;280;;
Gabriel;Fürst;1978;CDU;;BW;58
Alexander;Fürter;1970;FDP;;BY;54
Klaus-Wilhelm;Füßmann;1957;FDP;142;NW;37
Michael;Fuest;1955;GRÜNE;32;NI;14
Gerald Paul;Fütterer;1957;ödp;;TH;12
Alexander;Funk;1974;CDU;299;SL;4
Reinhard;Funk;1958;MLPD;;NI;5
Madeleine;Funke;1963;CDU;;HE;40
Holger;Furch;1985;PIRATEN;;NW;2
Irina;Gaba;1988;BP;;BY;19
Martin;Gabling;1962;NPD;229;BY;3
Sigmar;Gabriel;1959;SPD;50;NI;24
Ingo;Gädechens;1960;CDU;9;SH;9
Gabriele;Gärtner;1977;MLPD;;NW;1
Joachim;Gärtner;1948;MLPD;;HE;7
Johann;Gärtner;1950;REP;;BY;1
Matthias;Gärtner;1984;NPD;70;ST;5
Monika Ruth;Gärtner-Engel;1952;MLPD;;NW;5
Annegret;Gärtner-Leymann;1977;MLPD;141;NW;16
Siegfried;Gärttner;1946;NPD;271;;
Uwe;Gäthje;1940;RRP;56;HB;1
Giuliano;Gagliardi;1988;;289;;
Dr. Wolfgang;Gahler;1948;;72;;
Dietmar;Gaisenkersting;1967;PSG;;NW;1
Silke;Gajek;1962;GRÜNE;13;MV;2
Dr. Klaus Olaf Hagen;Gallas;1941;SPD;;TH;13
Ronald;Galle;1957;BüSo;;SN;9
Marc;Galwas;1970;DKP;;BE;16
Dr. Thomas;Gambke;1949;GRÜNE;228;BY;8
Oliver;Gantz;1981;CDU;;SH;24
Wilhelm;Gasser;1960;PIRATEN;;BY;3
Harald Wilhelm;Gatermann;1955;DIE LINKE;;HB;4
Ulrike;Gauderer;1971;GRÜNE;;HE;7
Reiner;Gauger;1962;CDU;;BW;13
Dr. Horst;Gaumann;1965;FDP;34;NI;20
Dr. Peter;Gauweiler;1949;CSU;220;;
Dr. Thomas;Gebhart;1971;CDU;212;RP;11
Dr. Jürgen;Gehb;1952;CDU;169;HE;9
Wolfgang;Gehrcke-Reymann;1943;DIE LINKE;183;HE;2
Kai Boris;Gehring;1977;GRÜNE;121;NW;10
Norbert;Geis;1939;CSU;247;;
Andreas Werner;Geisel;1966;SPD;87;;
Dr. Edmund Peter;Geisen;1949;FDP;203;RP;4
Hans-Christoph;Gensichen;1933;PBC;;RP;2
Patrick;Gentsch;1976;NPD;166;;
Sven;George;1985;DKP;;BE;5
Gabriele;Georgiou;1955;MLPD;;HB;2
Christian;Gerber;1985;GRÜNE;188;;
Michael;Gerdes;1960;SPD;126;NW;51
Dr. Klaus-Uwe;Gerhardt;1955;GRÜNE;185;HE;16
Dr. Wolfgang;Gerhardt;1943;FDP;179;HE;1
Alois;Gerig;1956;CDU;276;;
Kai;Gersch;1971;FDP;79;BE;5
Martin;Gerster;1971;SPD;292;BW;12
Waltraud;Geß;1965;CM;;BY;8
Joachim;Gessinger;1945;GRÜNE;61;BB;4
Klaus Erwin;Gewehr;1958;SPD;;RP;27
Paul Felix;Giebeler;1981;BüSo;133;NW;8
Michael;Gielnik;1983;NPD;;MV;3
Eberhard;Gienger;1951;CDU;266;;
Elisabeth;Gierlings;1932;SPD;;BY;48
Rita;Giermann;1941;MLPD;;HH;3
Tim;Giesbert;1980;GRÜNE;119;NW;18
Herta-Margarete;Giese;1935;Tierschutz;;NI;1
Jan;Giesel;1972;ödp;;HH;3
David;Giesler;1984;NPD;168;HE;7
Anton;Gieß;1941;RENTNER;;NW;6
Cornelia;Gießler;1978;CDU;;TH;12
Raimund;Gilbert;1990;BP;;BY;20
Alexandra;Gill-Gers;1970;SPD;;RP;17
Horst Helmut;Gilles;1943;RRP;38;NI;9
Elmar;Gillet;1965;GRÜNE;;NW;24
Marlene;Gilsdorf;1935;ödp;;NW;13
Magdalena Isabella;Giren;1960;DIE LINKE;;NI;13
Dagmar;Girmus;1946;Tierschutz;;NI;4
Gero;Gisart;1942;CDU;;NW;59
Klaus;Glahn;1942;RRP;52;NI;3
Claudia;Glanz;1954;GRÜNE;162;;
Bärbel;Glas;1962;CDU;;RP;37
Iris;Gleicke;1964;SPD;197;TH;2
David;Glöckner;1985;REP;;SN;6
Michael;Glos;1944;CSU;250;;
Günter;Gloser;1950;SPD;244;BY;3
Ulrich;Glück;1969;ödp;;HH;8
Therese;Gmelch;1955;MLPD;;BY;5
Eva-Maria;Godau;1947;;70;;
Angela;Godawa;1958;SPD;295;BW;26
Angelika;Göhner-Feller;1954;MLPD;264;BW;10
Nerman;Göktas;1958;DIE LINKE;173;;
Fritz;Göldner;1966;PBC;;BY;1
Josef;Göppel;1950;CSU;241;;
Katrin;Göring-Eckardt;1966;GRÜNE;192;TH;1
Bianca;Görke;1967;DIE LINKE;;ST;9
Horst Günter;Görmann;1953;NPD;56;HB;1
Ralf;Goertz;1965;REP;;NW;1
Christian;Götz;1967;NPD;215;;
Elisabeth;Götz;1969;NPD;223;;
Peter;Götz;1947;CDU;273;;
Dr. Wolfgang;Götzer;1955;CSU;228;;
Marco;Gogolin;1980;SPD;;RP;20
Nicole;Gohlke;1975;DIE LINKE;219;BY;5
Lars;Gold;1985;NPD;268;BW;7
Stephanie-Johanna;Goldbach;1980;Tierschutz;;BE;7
Hans-Michael;Goldmann;1946;FDP;26;NI;3
Ulrike;Goldstein;1976;GRÜNE;219;BY;21
Heinz;Golombeck;1948;FDP;271;BW;15
Diana;Golze;1975;DIE LINKE;61;BB;5
Axel;Gonder;1958;DIE LINKE;113;;
Markus;Gorges;1975;CDU;;ST;10
Thomas;Gorr;1968;NPD;181;;
Ulrike;Gottschalck;1955;SPD;169;;
Sascha;Gottschalk;1978;GRÜNE;204;RP;10
Ralf;Grabow;1965;FDP;;MV;6
Dirk;Grabowski;1973;;100;;
Andrea;Graf;1966;GRÜNE;184;HE;13
Angelika;Graf;1947;SPD;223;BY;8
Rainer;Graf;1957;ödp;267;;
Jutta;Graf-Baier;1947;DIE LINKE;;BW;15
Iris;Gramberg;1960;DIE LINKE;28;NI;18
Markus;Grammel;1976;PBC;269;BW;2
Ute;Granold;1955;CDU;206;RP;9
Bruno;Granser;1953;REP;;BW;14
Dennis;Granzow;1963;SPD;;BB;14
Heinz Hubertus;Grass;1958;GRÜNE;159;;
Armin;Grassert;1959;VIOLETTEN;;BE;3
Denis;Gratzke;1978;NPD;;ST;9
Toralf;Grau;1986;REP;;SN;1
Oliver;Graue;1967;ödp;;HH;5
Stefan Josef;Graus;1977;SPD;;SL;25
Gero;Greb;1945;;288;;
Marlies;Grebe;1956;SPD;;NI;48
Max Josef;Greckl;1941;RRP;;BY;10
Christian;Greeb;1984;NPD;205;RP;8
Sebastian;Greiber;1980;FDP;297;;
Judith;Greif;1984;GRÜNE;218;BY;13
Annette;Greilich;1958;FDP;;HE;32
Eberhard;Grein;1959;CSU;;BY;62
Simon;Gremmler;1983;ödp;;NW;3
Maria;Greuter;1953;SPD;;SL;32
Michael;Grewe;1968;NPD;;MV;7
Monika;Griefahn;1954;SPD;37;NI;19
Joachim;Griesbaum;1955;MLPD;;HH;1
Kerstin;Griese;1966;SPD;106;NW;14
Mareike;Grigo;1977;GRÜNE;106;NW;23
Katrin;Grigoleit;1968;MLPD;;TH;5
Gisela;Grimm;1962;BP;;BY;21
Reinhard Dieter;Grindel;1961;CDU;36;NI;16
Hermann;Gröhe;1961;CDU;109;NW;13
Raphael;Grohganz;1952;CDU;;HE;28
Franz;Groll;1943;DIE LINKE;280;;
Gabriele;Groneberg;1955;SPD;33;NI;14
Peter;Groos;1964;GRÜNE;85;;
Michael;Groschek;1956;SPD;118;NW;65
Michael Peter;Groß;1956;SPD;123;NW;47
Thorsten;Groß;1973;NPD;173;HE;9
Werner;Groß;1962;SPD;213;BY;42
Klaus;Große;1953;FDP;86;BE;9
Michael;Grosse-Brömer;1960;CDU;37;NI;7
Lüder;Grosser;1973;BüSo;259;BW;5
Heinz;Großhans;1955;VIOLETTEN;;BW;2
Marc;Großjean;1986;PIRATEN;;SL;2
Edward;Grossmann;1947;Volksabst.;;BW;6
Astrid;Grotelüschen;1964;CDU;29;NI;21
Annette;Groth;1954;DIE LINKE;279;BW;5
Inga;Groth;1981;CDU;;MV;8
Andreas;Grube;1960;;190;;
Karl-Peter;Grube;1951;ödp;20;HH;7
Andreas;Gruber;1946;BP;;BY;22
Markus;Grübel;1959;CDU;261;;
Michael Johannes;Gründler;1958;BüSo;;SN;7
Rolf;Grüning;1959;DIE LINKE;276;;
Holger;Grünwedel;1958;DIE LINKE;251;;
Michael;Grüß;1976;DKP;;BE;17
Dr. Stefan;Grüter;1954;CDU;;BW;41
Prof. Monika;Grütters;1962;CDU;86;BE;1
Manfred;Grund;1955;CDU;189;TH;1
Erhard;Grundl;1963;GRÜNE;231;BY;20
Miriam;Gruß;1975;FDP;252;BY;5
Helmut;Gudat;1957;NPD;90;NW;6
Elke;Gülck;1937;DVU;;ST;2
Tanya-Michelé;Günter;1969;FAMILIE;;BY;4
Joachim;Günther;1948;FDP;167;SN;2
Derya;Gür;1981;GRÜNE;;NW;21
Achim;Güssgen;1957;FDP;177;HE;15
Ravindra;Gujjula;1954;SPD;60;BB;11
Dietrich;Gumppenberg Freiherr von;1941;FDP;;BY;37
Madline;Gund;1987;CDU;;BW;37
Rosemarie;Gunder;1952;GRÜNE;;BY;23
Andrea;Gungl;1959;CDU;;BW;42
Wolfgang;Gunkel;1947;SPD;158;SN;5
Erold;Gutowski;1950;REP;;BW;9
Hermann;Gutsche;1954;NPD;5;SH;6
Dr. Karl-Theodor;Guttenberg Freiherr von und zu;1971;CSU;240;BY;3
Olav;Gutting;1970;CDU;278;;
Dr. Gregor;Gysi;1948;DIE LINKE;85;BE;1
Tilo;Haag;1978;PIRATEN;;MV;5
Detlef;Haar;1945;RRP;46;;
Heiner Joachim;Haase;1957;GRÜNE;35;NI;10
Stephan;Haase;1968;NPD;150;NW;2
Christine;Habereder;1963;Volksabst.;;BW;2
Thomas;Habisch;1969;PIRATEN;;BB;3
Manuel;Hachenburger;1962;;177;;
Tino;Hackenbruch;1977;CDU;;RP;17
Hans-Joachim;Hacker;1949;SPD;13;MV;1
Maria;Hackl;1956;SPD;253;BY;32
Verena;Häggberg;1973;ödp;;HH;2
Jörg;Hähnel;1975;NPD;77;BE;2
Stella;Hähnel;1972;NPD;63;;
Andrea;Hähner;1961;MLPD;;SH;3
Günter;Haemer;1940;REP;;HE;3
Lothar;Hänsch;1949;FDP;19;HH;8
Heike;Hänsel;1966;DIE LINKE;290;BW;2
Siegfried;Härle;1935;NPD;292;;
Dr. Gesine;Haerting;1958;GRÜNE;75;;
Jenny;Häse;1987;BüSo;;BB;2
Peter Joachim Bruno;Haese;1937;NPD;230;;
Reinhard Gerd-Jürgen;Haese;1948;REP;;BE;1
Markus;Häßler;1983;;238;;
Gotthard Lothar;Häupl;1949;;160;;
Angelika Jutta;Hagedorn;1957;FAMILIE;;NW;6
Bettina;Hagedorn;1955;SPD;9;SH;2
Gene;Hagelstein;1967;SPD;;HE;21
Klaus;Hagemann;1947;SPD;207;RP;9
Heide;Hagen;1956;PIRATEN;;BE;2
Jörg;Hager;1980;NPD;;BW;9
Ina;Hager-Dietel;1959;CSU;;BY;46
Rita;Hagl;1970;SPD;227;BY;34
Florian;Hahn;1974;CSU;222;BY;33
Michael;Hahn;1970;NPD;54;NI;7
Holger-Heinrich;Haibach;1971;CDU;176;HE;17
Metin;Hakverdi;1969;SPD;;HH;10
Fredy;Halbroth;1953;REP;;BW;10
Marcel;Haliti;1983;NPD;119;;
Alexandra;Hall;1972;ZENTRUM;;NW;3
Ingo;Haller;1972;NPD;91;;
Matthias;Halmanns;1981;NPD;115;;
Karen;Haltaufderheide;1960;GRÜNE;139;NW;19
Ralf;Hamacher;1962;FAMILIE;;NW;8
Enrico;Hamisch;1974;NPD;;MV;8
Sandro;Hammer;1974;DIE LINKE;235;BY;26
Tim;Hanke;1979;CDU;;SH;17
Brigit Susanne;Hannemann-Röttgers;1961;SPD;;SH;16
Dr. Christel;Happach-Kasan;1950;FDP;10;SH;2
Dr. Stephan;Harbarth;1971;CDU;277;;
Jürgen;Hardt;1963;CDU;104;NW;48
Oliver;Harf;1972;NPD;88;;
Burkhard;Harting;1962;ZENTRUM;;NW;5
Alexander;Hartmann;1961;BüSo;179;HE;1
Birgit;Hartmann;1960;BP;;BY;23
Detlef;Hartmann;1959;NPD;104;;
Esther;Hartmann;1955;DIE LINKE;6;SH;3
Georg;Hartmann;1936;NPD;187;HE;8
Günther;Hartmann;1965;ödp;219;BY;19
Maria;Hartmann;1955;FAMILIE;;NW;1
Michael;Hartmann;1963;SPD;206;RP;2
Simon;Hartmann;1977;SPD;;NI;37
Thomas;Hartmann;1963;GRÜNE;256;;
Uwe;Hartmann;1963;BP;;BY;2
Sabine;Hartmann-Bastert;1974;CDU;;HE;44
Frank;Hartwig;1960;NPD;255;;
Karin;Hartwig;1960;NPD;253;;
Agnes;Hasenjäger;1950;DIE LINKE;;NI;11
Dagmar;Hassel;1958;CDU;;RP;18
Sarah Luzia;Hassel-Reusing;1961;ödp;;NW;12
Philipp Maximilian;Hasselbach;1987;NPD;222;;
Gerda;Hasselfeldt;1950;CSU;216;BY;2
Britta;Haßelmann;1961;GRÜNE;133;NW;3
Florian;Haßler;1977;GRÜNE;260;BW;14
Jörgen Michael;Hassler;1983;SPD;;BB;15
Marc;Hauck;1978;FDP;;RP;28
Michael;Hauck;1970;GRÜNE;244;;
Norbert;Hauck;1949;REP;;RP;1
Rainer;Hauenschild;1968;DIE LINKE;261;;
Matthias;Hauer;1977;CDU;121;NW;46
Nina;Hauer;1968;SPD;177;HE;11
Stefan;Haug;1958;GRÜNE;230;;
Friedrich;Haugg;1969;FDP;;BY;28
Gabriele;Hauptstein;1960;FDP;67;ST;4
Heinz-Peter;Haustein;1954;FDP;165;SN;3
Sven-Gunnar;Haverlandt;1978;NPD;;BB;5
Maria-Anna;Hebach;1946;Volksabst.;;BW;5
Stefan;Heck;1982;CDU;172;HE;19
Doris;Heer;1949;DIE LINKE;;BW;17
Lutz;Heerwald;1960;MLPD;;BB;2
Brigitte;Hegendörfer;1955;CSU;;BY;47
Ute;Hegener;1955;GRÜNE;120;;
Reinhard;Hegewald;1964;CDU;25;NI;22
Silvio;Heidbüchel;1988;DIE LINKE;253;BY;20
Wilfried Bernd Jürgen;Heidemann;1939;RRP;;NW;3
Dr. Matthias;Heider;1966;CDU;150;;
Helmut;Heiderich;1949;CDU;170;HE;15
Anny;Heike;1948;DIE LINKE;243;;
Hubertus;Heil;1972;SPD;46;NI;3
Mechthild;Heil;1961;CDU;199;RP;10
Martin;Heilemann;1966;DIE LINKE;25;NI;31
Lutz Eberhard;Heilmann;1966;DIE LINKE;9;;
Adrian;Heim;1964;ödp;216;BY;20
Dirk;Heimsoth;1956;NPD;39;;
Dr. Rosemarie Anna Gertrud;Hein;1953;DIE LINKE;70;ST;5
Tobias;Heine;1986;PIRATEN;;NI;10
Silvia;Heinel;1988;BüSo;80;BE;6
Uwe;Heinemann;1975;SPD;;HE;41
Anita;Heinemeyer;1948;DIE LINKE;93;;
Alexandra;Heinen;1971;CDU;;SL;15
Ursula;Heinen-Esser;1965;CDU;94;NW;3
Filip;Heinlein;1985;GRÜNE;196;;
Frank;Heinrich;1964;CDU;163;;
Ralf;Heinrich;1962;BüSo;253;BY;10
Dr. Christine;Heins;1963;CDU;;SH;26
