Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Alfons;Baumgartner;1944;BP;;BY;9
Roman;Baumgartner;1982;CDU;;BW;21
Jens;Baur;1979;NPD;161;;
Yusuf;Bayrak;1963;;83;;
Dr. Arthur;Bechert;1964;CSU;;BY;55
Birgit;Beciri;1962;Tierschutz;;HE;8
Ernst-Reinhard;Beck;1945;CDU;289;;
Jürgen;Beck;1955;;86;;
Marieluise;Beck;1952;GRÜNE;55;HB;1
Stefanie;Beck;1970;DIE LINKE;209;RP;5
Tobias;Beck;1985;FDP;;RP;16
Volker;Beck;1960;GRÜNE;95;NW;2
Claudia;Beck geb. Krauß;1973;GRÜNE;297;;
Alexander;Becker;1982;CDU;;RP;39
Bernd;Becker;1958;SPD;;RP;31
Burkhard;Becker;1954;NPD;137;;
Dirk;Becker;1966;SPD;136;NW;33
Kurt;Becker;1953;SPD;;RP;28
Christa Lydia;Becker-Lettow;1959;SPD;;NW;66
Bert;Beckmann;1958;MLPD;;MV;4
Uwe Karl;Beckmeyer;1949;SPD;56;HB;1
Jochen Heiner;Beekhuis;1977;SPD;;NI;42
Maximilian;Beer;1966;CSU;;BY;54
Kirsten;Beetz;1961;CDU;;RP;36
Peter;Befeldt;1955;SPD;;NI;32
Jörg;Behlen;1968;FDP;172;HE;17
Cornelia;Behm;1951;GRÜNE;62;BB;1
Martin;Behnke;1954;DIE LINKE;106;;
Hans-Peter;Behrens;1961;GRÜNE;273;;
Heidemarie Elisabeth;Behrens;1954;DIE LINKE;;HB;5
Herbert;Behrens;1954;DIE LINKE;35;NI;6
Manfred;Behrens;1956;CDU;68;ST;8
Matthias;Behrens;1972;NPD;36;NI;2
Andreas;Beier;1971;;291;;
Dr. Guido;Beier;1967;FDP;60;BB;3
Klaus;Beier;1966;NPD;64;BB;1
Mirko;Beier;1975;NPD;152;SN;6
Veronika Maria;Bellmann;1960;CDU;162;SN;7
Michael;Belzner;1948;REP;;BW;8
Birgitt;Bender;1956;GRÜNE;259;BW;7
Mario;Bender;1966;DIE LINKE;;SL;4
Anneliese;Bendigkeit;1943;CDU;;BW;26
Edgar;Benedetto Di;1958;DIE LINKE;29;NI;32
Klaus Uwe;Benneter;1947;SPD;80;BE;5
Felix;Bensmann;1985;FDP;;NI;28
Konrad;Bentz;1920;NPD;170;;
Josef;Benz;1953;FDP;273;BW;28
Karl Hans August;Benz;1938;RRP;;BY;9
Markus;Benz;1955;VIOLETTEN;281;BW;1
Patrick;Berberich;1979;CDU;;RP;29
Miro;Berbig;1964;DIE LINKE;8;;
Dr. Axel;Berg;1959;SPD;218;BY;17
Ute;Berg;1953;SPD;138;NW;17
Lars;Bergen;1975;CSU;;BY;63
Cornelia;Berger;1956;NPD;76;;
Frank;Berger;1976;FDP;255;BY;52
Milan;Berger;1978;PIRATEN;245;;
Dr. Dr. Wolfgang Georg Justus;Berger;1941;;212;;
Volker;Bergler;1968;BP;;BY;13
Jutta;Bergmoser;1961;GRÜNE;128;NW;27
Dr. Christoph;Bergner;1948;CDU;73;ST;1
Christian;Berisha;1967;NPD;38;;
Jutta;BEghof;1961;GRÜNE;246;BY;19
Christopher;Bernd;1986;PBC;;RP;6
Wolfgang Herbert Josef;Berndt;1949;DIE LINKE;232;;
Marc;Bernhard;1972;CDU;;BW;9
Martin;Bernmeiser;1952;VIOLETTEN;;BY;16
Wolfgang;Berns;1948;FDP;173;HE;10
Florian;Bernschneider;1986;FDP;51;NI;7
Jürgen Heinrich;Bernsen;1963;;77;;
Patrick;Bernstein;1973;NPD;221;;
Ute;Bertram;1961;CDU;;NI;49
Karl-Heinz;Besemann;1950;DVU;;NI;2
Harald;Bestehorn;1962;NPD;239;;
Markus;Bestgen;1964;FDP;98;NW;27
Horst;Bethge;1935;DIE LINKE;;HH;4
Cornelia;Bethke;1966;SPD;;HE;35
Lorenz Gösta;Beutin;1978;DIE LINKE;10;;
Christian;Beyer;1974;SPD;232;BY;27
Lars;Beyer;1969;NPD;;BB;9
Peter;Beyer;1970;CDU;106;NW;53
Stephan;Beyer;1985;PIRATEN;192;TH;8
Bettina;Bieder;1980;NPD;81;;
Christian;Bieler;1985;NPD;198;;
KLaus;Biener;1959;GRÜNE;;MV;8
Xenia;Biereichelt;1989;BüSo;153;SN;6
Arnhild;Biesenbach;1955;CDU;;NI;39
Hans-Dieter;Biester;1945;RENTNER;;HH;2
Michael;Bihler;1979;CSU;;BY;48
Steffen;Bilger;1979;CDU;265;;
Rainer;Biller;1965;NPD;245;;
Karin;Binder;1957;DIE LINKE;271;BW;3
Martin;Binder;1980;CDU;;RP;16
Sascha;Binder;1983;SPD;263;BW;29
Lothar;Binding;1950;SPD;274;BW;14
Peter;Bing;1951;RENTNER;;SH;2
Clemens;Binninger;1962;CDU;260;;
Katharina;Birk;1967;DIE LINKE;;BW;19
Matthias W.;Birkwald;1961;DIE LINKE;95;NW;10
Florian;Bischof;1977;PIRATEN;;BE;1
Joachim;Bischoff;1944;DIE LINKE;19;;
Peter;Bitsch;1950;REP;;HE;5
Dr. Günther Wolfgang;Bittel;1953;MLPD;;NW;23
Thomas;Bläsche;1978;FDP;205;RP;10
Robert;Bläsing;1982;FDP;22;HH;11
Kurt Jürgen;Blank;1970;NPD;257;;
Bernhard;Blankenheim;1951;NPD;96;;
Bernd;Blech;1961;REP;142;;
Thomas;Blechschmidt;1965;;221;;
Dr. Wolfgang;Blender;1955;FDP;;RP;26
Peter;Bleser;1952;CDU;201;RP;4
Stephan;Bliemel;1978;SPD;12;MV;5
Prof. Dr. Frank;Bliss;1956;GRÜNE;199;;
Detlev;Blitz;1958;SPD;187;HE;18
Günter;Blocks;1958;DIE LINKE;126;;
Dr. Helmut;Blöcker;1945;GRÜNE;51;;
Marion Else;Blohm;1953;DVU;;HB;3
Frank;Blome;1973;NPD;41;;
Barbara;Blotenberg;1960;GRÜNE;144;;
Heidrun;Bluhm;1958;DIE LINKE;17;MV;3
Claudia;Blum;1968;SPD;175;HE;15
Klaus;Blume;1944;RRP;226;;
Sebastian;Blumenthal;1974;FDP;5;SH;3
Volker;Blumentritt;1946;SPD;194;TH;6
Jürgen;Blumer;1958;MLPD;117;;
Steffen;Bockhahn;1978;DIE LINKE;14;;
Claudia;Bögel;1961;FDP;125;NW;17
Melanie;Böger;1971;DIE LINKE;;NI;9
Werner;Böhler;1964;SPD;137;NW;41
Dr. Dorothea;Böhm;1962;FAMILIE;;NW;2
Walter;Böhm;1959;NPD;219;;
Prof. Dr. Maria;Böhmer;1950;CDU;208;RP;2
Helmut;Böhmler;1952;MLPD;103;;
Georg;Böhner;1957;DIE LINKE;237;;
Björn Lars;Böhning;1978;SPD;84;;
Manfred;Börm;1950;NPD;45;NI;9
Wolfgang;Börnsen;1942;CDU;1;SH;4
Peter;Börs;1944;NPD;57;;
Ralph;Boes;1957;;76;;
Jorg;Böttcher;1958;;48;;
Süntje;Böttcher;1981;PIRATEN;;SL;8
Viktor;Böttcher;1952;SPD;;HE;34
Dr. Martin;Böttger;1947;GRÜNE;166;;
Karl-Heinz;Bok;1951;ödp;264;BW;11
Gerd;Bollmann;1947;SPD;142;;
Alexander;Bonde;1975;GRÜNE;283;BW;8
Keno;Borde;1982;SPD;26;NI;28
Klaus-Peter;Borgwardt;1953;MLPD;;BW;1
Sonja Angela;Borgwardt;1951;MLPD;;NW;24
Helmut;Born;1952;DIE LINKE;107;;
Markus;Born;1982;NPD;106;;
Thomas;Born;1983;BüSo;;SN;10
Raimund Frank;Borrmann;1960;NPD;15;;
Johannes Martin Maria;Bortlisz-Dickhoff;1957;GRÜNE;92;;
Wolfgang;Bosbach;1952;CDU;101;NW;7
